,,,Totals,,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kareem Abdul-Jabbar,32,5,203,73,133,0,0,21,26,16,52,68,16,3,23,21,20,167,0.549,,0.808,40.6,33.4,13.6,3.2,0.6,4.6
2,Magic Johnson,20,6,256,47,82,0,2,35,40,17,50,67,52,16,2,30,17,129,0.573,0,0.875,42.7,21.5,11.2,8.7,2.7,0.3
3,Jamaal Wilkes,26,6,252,57,122,0,0,14,17,25,21,46,19,5,1,13,23,128,0.467,,0.824,42,21.3,7.7,3.2,0.8,0.2
4,Norm Nixon,24,6,254,37,85,0,1,19,25,6,16,22,42,13,1,22,19,93,0.435,0,0.76,42.3,15.5,3.7,7,2.2,0.2
5,Michael Cooper,23,6,185,20,56,0,0,13,16,11,14,25,20,7,4,12,22,53,0.357,,0.813,30.8,8.8,4.2,3.3,1.2,0.7
6,Jim Chones,30,6,185,19,36,0,0,12,16,14,28,42,9,5,4,15,22,50,0.528,,0.75,30.8,8.3,7,1.5,0.8,0.7
7,Mark Landsberger,24,6,86,12,31,0,1,1,2,14,23,37,1,3,2,5,21,25,0.387,0,0.5,14.3,4.2,6.2,0.2,0.5,0.3
8,Brad Holland,23,3,13,4,6,0,0,2,2,0,1,1,1,3,0,1,3,10,0.667,,1,4.3,3.3,0.3,0.3,1,0
9,Spencer Haywood,30,2,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,,,2.5,1,0,0,0,0
10,Marty Byrnes,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0
,Team Totals,,6,1440,270,552,0,4,117,144,103,205,308,160,55,37,120,147,657,0.489,0,0.813,240,109.5,51.3,26.7,9.2,6.2
